,target
412,7
413,5
414,9
415,8
416,7
417,4
418,6
419,6
420,3
421,8
422,9
423,4
424,1
425,4
426,2
427,9
428,5
429,7
430,2
431,1
432,1
433,1
434,1
435,0
436,0
437,3
438,6
439,4
440,9
441,6
442,8
443,2
444,2
445,1
446,0
447,5
448,3
449,1
450,3
451,7
452,9
453,3
454,3
455,2
456,3
457,3
458,5
459,5
460,9
461,2
462,1
463,1
464,1
465,5
466,8
467,1
468,5
469,9
470,8
471,4
472,0
473,0
474,2
475,1
476,7
477,6
478,6
479,9
480,0
481,7
482,6
483,7
484,5
485,6
486,1
487,9
488,7
489,0
490,1
491,5
492,7
493,4
494,5
495,1
496,0
497,6
498,5
499,1
500,5
501,3
502,5
503,7
504,6
505,6
506,4
507,4
508,0
509,9
510,8
511,0
512,9
513,7
514,8
515,7
516,9
517,1
518,6
519,4
520,1
521,1
522,7
523,6
524,7
525,2
526,2
527,5
528,2
529,4
530,7
531,9
532,8
533,1
534,4
535,7
536,7
537,8
538,2
539,4
540,5
541,7
542,3
543,2
544,3
545,5
546,7
547,8
548,6
549,6
550,8
551,6
552,9
553,3
554,5
555,0
556,8
557,2
558,1
559,7
560,3
561,8
562,7
563,0
564,0
565,4
566,1
567,4
568,5
569,2
570,3
571,0
572,4
573,1
574,1
575,2
576,8
577,4
578,5
579,1
580,9
581,8
582,4
583,0
584,0
585,0
586,7
587,8
588,2
589,9
590,5
591,7
592,2
593,4
594,8
595,8
596,9
597,5
598,3
599,6
600,0
601,1
602,4
603,2
604,4
605,4
606,7
607,7
608,5
609,7
610,2
611,7
612,1
613,4
614,1
615,3
616,9
617,3
618,3
619,1
620,9
621,8
622,5
623,2
624,9
625,9
626,7
627,1
628,5
629,4
630,9
631,8
632,1
633,4
634,9
635,2
636,6
637,7
638,1
639,5
640,7
641,2
642,5
643,4
644,1
645,2
646,8
647,3
648,7
649,5
650,3
651,6
652,4
653,3
654,5
655,3
656,9
657,9
658,1
659,0
660,1
661,3
662,5
663,0
664,4
665,2
666,8
667,0
668,9
669,2
670,1
671,0
672,6
673,0
674,3
675,6
676,6
677,7
678,1
679,0
680,9
681,9
682,9
683,3
684,5
685,1
686,6
687,3
688,7
689,8
690,2
691,0
692,6
693,9
694,7
695,9
696,0
697,1
698,0
699,7
700,6
701,0
702,3
703,0
704,3
705,2
706,5
707,8
708,9
709,4
710,2
711,7
712,5
713,0
714,1
715,1
716,2
717,9
718,6
719,9
720,4
721,2
722,8
723,6
724,9
725,5
726,6
727,2
728,0
729,1
730,3
731,9
732,5
733,8
734,2
735,7
736,9
737,3
738,9
739,4
740,6
741,3
742,1
743,1
744,5
745,4
746,5
747,2
748,1
749,2
750,9
751,0
752,0
753,0
754,8
755,8
756,3
757,5
758,9
759,7
760,2
761,6
762,8
763,2
764,4
765,9
766,5
767,3
768,1
769,5
770,5
771,2
772,1
773,3
774,8
775,1
776,8
777,1
778,9
779,9
780,5
781,5
782,2
783,0
784,3
785,6
786,1
787,6
788,9
789,9
790,5
791,8
792,9
793,4
794,4
795,1
796,2
797,2
798,4
799,6
800,8
801,9
802,3
803,8
804,8
805,1
806,9
807,7
808,6
809,5
810,1
811,4
812,2
813,3
814,6
815,1
816,1
817,1
818,9
819,0
820,6
821,7
822,9
823,6
824,7
825,0
826,0
827,8
828,3
829,5
830,2
831,1
832,8
833,6
834,6
835,0
836,2
837,3
838,1
839,7
840,7
841,8
842,6
843,4
844,4
845,6
846,6
847,0
848,1
849,9
850,1
851,7
852,1
853,1
854,6
855,7
856,2
857,3
858,1
859,1
860,2
861,5
862,0
863,0
864,5
865,2
866,1
867,7
868,4
869,7
870,5
871,2
872,1
873,2
874,2
875,6
876,1
877,0
878,1
879,3
880,0
881,7
882,7
883,1
884,9
885,4
886,6
887,2
888,4
889,4
890,9
891,3
892,6
893,4
894,6
895,7
896,2
897,7
898,8
899,7
900,8
901,8
902,2
903,4
904,1
905,8
906,9
907,6
908,0
909,5
910,9
911,9
912,5
913,9
914,1
915,4
916,2
917,5
918,9
919,0
920,9
921,0
922,3
923,7
924,9
925,9
926,3
927,8
928,9
929,2
930,2
931,6
932,5
933,9
934,4
935,9
936,9
937,2
938,8
939,2
940,2
941,3
942,5
943,0
944,2
945,2
946,8
947,1
948,7
949,0
950,2
951,3
952,5
953,3
954,6
955,0
956,4
957,1
958,6
959,9
960,7
961,4
962,2
963,8
964,1
965,8
966,1
967,9
968,1
969,8
970,3
971,6
972,0
973,4
974,6
975,8
976,8
977,0
978,3
979,7
980,3
981,6
982,1
983,5
984,9
985,8
986,3
987,9
988,8
989,3
990,1
991,5
992,1
993,1
994,5
995,0
996,5
997,5
998,3
999,0
1000,1
1001,1
1002,3
1003,4
1004,0
1005,7
1006,3
1007,7
1008,9
1009,2
1010,8
1011,4
1012,7
1013,5
1014,0
1015,0
1016,0
1017,5
1018,3
1019,0
1020,0
1021,0
1022,4
1023,2
1024,1
1025,8
1026,6
1027,2
1028,9
1029,3
1030,0
1031,5
1032,9
1033,0
1034,7
1035,4
1036,0
1037,9
1038,4
1039,6
1040,9
1041,4
1042,0
1043,8
1044,4
1045,2
1046,7
1047,6
1048,7
1049,5
1050,5
1051,8
1052,1
1053,1
1054,5
1055,1
1056,2
1057,0
1058,3
1059,0
1060,8
1061,7
1062,8
1063,9
1064,0
1065,9
1066,1
1067,4
1068,9
1069,1
1070,7
1071,5
1072,9
1073,2
1074,9
1075,2
1076,3
1077,2
1078,0
1079,7
1080,5
1081,8
1082,3
1083,9
1084,5
1085,6
1086,9
1087,7
1088,7
1089,9
1090,4
1091,3
1092,1
1093,5
1094,0
1095,6
1096,5
1097,3
1098,1
1099,9
1100,9
1101,1
1102,5
1103,1
1104,2
1105,5
1106,1
1107,0
1108,6
1109,7
1110,2
1111,2
1112,2
1113,7
1114,3
1115,0
1116,3
1117,3
1118,0
1119,1
1120,9
1121,4
1122,3
1123,9
1124,0
1125,4
1126,0
1127,5
1128,0
1129,9
1130,9
1131,3
1132,0
1133,8
1134,1
1135,7
1136,9
1137,4
1138,1
1139,8
1140,0
1141,5
1142,1
1143,7
1144,9
1145,2
1146,8
1147,8
1148,4
1149,8
1150,8
1151,7
1152,4
1153,9
1154,1
1155,5
1156,8
1157,8
1158,9
1159,1
1160,1
1161,4
1162,1
1163,2
1164,8
1165,1
1166,1
1167,1
1168,3
1169,0
1170,0
1171,7
1172,4
1173,1
1174,5
1175,2
1176,7
1177,8
1178,9
1179,2
1180,4
1181,3
1182,0
1183,0
1184,9
1185,4
1186,0
1187,1
1188,0
1189,2
1190,0
1191,1
1192,6
1193,4
1194,9
1195,5
1196,0
1197,2
1198,1
1199,8
1200,0
1201,8
1202,9
1203,8
1204,0
1205,7
1206,7
1207,3
1208,5
1209,1
1210,5
1211,2
1212,5
1213,3
1214,6
1215,6
1216,4
1217,0
1218,3
1219,4
1220,2
1221,5
1222,7
1223,2
1224,4
1225,4
1226,0
1227,0
1228,8
1229,1
1230,1
1231,9
1232,5
1233,5
1234,2
1235,0
1236,3
1237,9
1238,1
1239,8
1240,5
1241,1
1242,4
1243,3
1244,0
1245,3
1246,3
1247,3
1248,7
1249,7
1250,7
1251,3
1252,0
1253,4
1254,9
1255,6
1256,4
1257,6
1258,8
1259,9
1260,4
1261,2
1262,4
1263,5
1264,2
1265,4
1266,2
1267,1
1268,4
1269,4
1270,5
1271,7
1272,6
1273,6
1274,9
1275,6
1276,5
1277,2
1278,5
1279,0
1280,0
1281,0
1282,6
1283,7
1284,1
1285,6
1286,3
1287,5
1288,6
1289,9
1290,9
1291,1
1292,7
1293,3
1294,3
1295,5
1296,7
1297,4
1298,0
1299,0
1300,2
1301,3
1302,1
1303,7
1304,4
1305,5
1306,4
1307,5
1308,0
1309,9
1310,4
1311,8
1312,6
1313,3
1314,8
1315,2
1316,6
1317,4
1318,5
1319,4
1320,8
1321,1
1322,9
1323,9
1324,5
1325,3
1326,2
1327,6
1328,0
1329,0
1330,2
1331,1
1332,9
1333,4
1334,8
1335,5
1336,3
1337,8
1338,0
1339,1
1340,7
1341,8
1342,1
1343,2
1344,5
1345,3
1346,1
1347,6
1348,0
1349,1
1350,6
1351,7
1352,8
1353,1
1354,8
1355,5
1356,2
1357,0
1358,7
1359,6
1360,1
1361,1
1362,4
1363,9
1364,6
1365,5
1366,0
1367,6
1368,3
1369,0
1370,0
1371,2
1372,0
1373,6
1374,3
1375,0
1376,9
1377,2
1378,9
1379,0
1380,5
1381,5
1382,2
1383,9
1384,0
1385,8
1386,3
1387,1
1388,1
1389,5
1390,9
1391,1
1392,6
1393,3
1394,7
1395,3
1396,4
1397,7
1398,1
1399,5
1400,7
1401,7
1402,2
1403,7
1404,9
1405,0
1406,3
1407,1
1408,1
1409,5
1410,1
1411,2
1412,3
1413,3
1414,4
1415,3
1416,2
1417,7
1418,8
1419,3
1420,1
1421,8
1422,4
1423,6
1424,7
1425,3
1426,1
1427,3
1428,7
1429,7
1430,7
1431,3
1432,4
1433,2
1434,1
1435,5
1436,8
1437,3
1438,3
1439,7
1440,2
1441,6
1442,7
1443,8
1444,9
1445,9
1446,1
1447,4
1448,1
1449,6
1450,7
1451,1
1452,0
1453,9
1454,5
1455,3
1456,1
1457,4
1458,4
1459,9
1460,2
1461,6
1462,9
1463,1
1464,4
1465,0
1466,2
1467,4
1468,9
1469,5
1470,6
1471,6
1472,7
1473,4
1474,7
1475,9
1476,9
1477,9
1478,7
1479,9
1480,0
1481,3
1482,1
1483,7
1484,7
1485,3
1486,8
1487,1
1488,5
1489,0
1490,4
1491,3
1492,9
1493,9
1494,5
1495,1
1496,9
1497,9
1498,1
1499,6
1500,8
1501,8
1502,1
1503,5
1504,8
1505,2
1506,5
1507,8
1508,4
1509,6
1510,4
1511,0
1512,4
1513,4
1514,3
1515,9
1516,9
1517,2
1518,2
1519,7
1520,2
1521,8
1522,1
1523,8
1524,0
1525,1
1526,2
1527,4
1528,7
1529,5
1530,3
1531,0
1532,5
1533,5
1534,0
1535,8
1536,6
1537,3
1538,7
1539,3
1540,2
1541,2
1542,1
1543,4
1544,0
1545,7
1546,5
1547,0
1548,9
1549,2
1550,6
1551,8
1552,6
1553,5
1554,8
1555,1
1556,2
1557,0
1558,0
1559,1
1560,3
1561,3
1562,9
1563,9
1564,0
1565,4
1566,2
1567,8
1568,6
1569,2
1570,0
1571,7
1572,3
1573,1
1574,2
1575,4
1576,4
1577,5
1578,6
1579,9
1580,7
1581,8
1582,6
1583,5
1584,3
1585,2
1586,7
1587,4
1588,8
1589,2
1590,4
1591,8
1592,9
1593,7
1594,4
1595,5
1596,5
1597,8
1598,6
1599,4
1600,1
1601,7
1602,9
1603,8
1604,7
1605,1
1606,0
1607,1
1608,0
1609,3
1610,2
1611,3
1612,0
1613,2
1614,7
1615,0
1616,5
1617,1
1618,4
1619,2
1620,0
1621,8
1622,1
1623,3
1624,9
1625,8
1626,6
1627,9
1628,2
1629,5
1630,1
1631,8
1632,6
1633,8
1634,9
1635,4
1636,8
1637,0
1638,7
1639,8
1640,3
1641,2
1642,4
1643,7
1644,1
1645,5
1646,5
1647,4
1648,0
1649,5
1650,2
1651,1
1652,2
1653,6
1654,8
1655,4
1656,2
1657,0
1658,7
1659,8
1660,9
1661,0
1662,4
1663,0
1664,1
1665,7
1666,2
1667,3
1668,3
1669,9
1670,7
1671,9
1672,0
1673,5
1674,6
1675,1
1676,3
1677,1
1678,2
1679,2
1680,1
1681,2
1682,1
1683,5
1684,2
1685,2
1686,4
1687,2
1688,9
1689,0
1690,4
1691,6
1692,2
1693,1
1694,2
1695,9
1696,3
1697,1
1698,5
1699,1
1700,3
1701,1
1702,9
1703,1
1704,0
1705,5
1706,8
1707,5
1708,0
1709,5
1710,8
1711,5
1712,7
1713,5
1714,0
1715,0
1716,2
1717,9
1718,1
1719,1
1720,7
1721,1
1722,5
1723,0
1724,7
1725,5
1726,1
1727,2
1728,7
1729,1
1730,2
1731,4
1732,7
1733,1
1734,9
1735,6
1736,6
1737,5
1738,1
1739,1
1740,4
1741,7
1742,0
1743,8
1744,0
1745,8
1746,3
1747,6
1748,0
1749,6
1750,4
1751,0
1752,7
1753,2
1754,6
1755,3
1756,6
1757,0
1758,0
1759,3
1760,4
1761,5
1762,5
1763,9
1764,6
1765,6
1766,1
1767,0
1768,9
1769,7
1770,1
1771,6
1772,6
1773,7
1774,7
1775,1
1776,5
1777,8
1778,3
1779,4
1780,6
1781,5
1782,6
1783,1
1784,1
1785,8
1786,9
1787,1
1788,1
1789,9
1790,2
1791,2
1792,0
1793,1
1794,2
1795,1
1796,2
1797,9
1798,4
1799,1
1800,3
1801,3
1802,6
1803,1
1804,0
1805,5
1806,9
1807,8
1808,9
1809,0
1810,2
1811,1
1812,9
1813,1
1814,5
1815,2
1816,2
1817,0
1818,0
1819,6
1820,9
1821,1
1822,0
1823,0
1824,0
1825,6
1826,9
1827,3
1828,6
1829,5
1830,6
1831,2
1832,9
1833,0
1834,3
1835,0
1836,4
1837,4
1838,8
1839,8
1840,4
1841,1
1842,4
1843,8
1844,0
1845,8
1846,1
1847,9
1848,0
1849,0
1850,7
1851,0
1852,6
1853,0
1854,0
1855,1
1856,5
1857,7
1858,0
1859,0
1860,6
1861,1
1862,8
1863,2
1864,9
1865,9
1866,8
1867,8
1868,2
1869,6
1870,8
1871,3
1872,1
1873,0
1874,2
1875,9
1876,0
1877,2
1878,6
1879,6
1880,1
1881,1
1882,1
1883,2
1884,8
1885,3
1886,5
1887,5
1888,2
1889,8
1890,1
1891,5
1892,0
1893,1
1894,7
1895,1
1896,6
1897,4
1898,7
1899,4
1900,3
1901,4
1902,5
1903,8
1904,6
1905,7
1906,6
1907,6
1908,0
1909,5
1910,6
1911,4
1912,0
1913,7
1914,1
1915,3
1916,4
1917,3
1918,9
1919,8
1920,0
1921,6
1922,8
1923,4
1924,7
1925,4
1926,6
1927,7
1928,2
1929,8
1930,9
1931,9
1932,2
1933,5
1934,3
1935,9
1936,2
1937,2
1938,1
1939,4
1940,6
1941,5
1942,2
1943,7
1944,9
1945,7
1946,1
1947,0
1948,5
1949,5
1950,1
1951,1
1952,9
1953,2
1954,7
1955,2
1956,0
1957,7
1958,0
1959,3
1960,9
1961,4
1962,4
1963,8
1964,6
1965,1
1966,8
1967,3
1968,9
1969,8
1970,0
1971,2
1972,5
1973,5
1974,0
1975,8
1976,3
1977,8
1978,3
1979,4
1980,0
1981,3
1982,4
1983,9
1984,6
1985,0
1986,1
1987,9
1988,0
1989,5
1990,8
1991,5
1992,5
1993,0
1994,4
1995,2
1996,4
1997,3
1998,5
1999,5
2000,7
2001,8
2002,3
2003,4
2004,8
2005,7
2006,9
2007,2
2008,2
2009,0
2010,8
2011,9
2012,4
2013,6
2014,2
2015,7
2016,6
2017,7
2018,4
2019,0
2020,3
2021,7
2022,2
2023,2
2024,7
2025,2
2026,1
2027,8
2028,9
2029,2
2030,3
2031,2
2032,0
2033,7
2034,0
2035,1
2036,1
2037,9
2038,7
2039,2
2040,3
2041,3
2042,1
2043,9
2044,0
2045,7
2046,5
2047,5
2048,5
2049,5
2050,9
2051,3
2052,9
2053,9
2054,3
2055,6
2056,0
2057,1
2058,4
2059,2
2060,5
2061,0
2062,6
2063,8
2064,0
2065,5
2066,4
2067,0
2068,1
2069,6
2070,0
2071,1
2072,3
2073,0
2074,7
2075,8
2076,3
2077,0
2078,8
2079,0
2080,6
2081,5
2082,5
2083,5
2084,7
2085,7
2086,0
2087,2
2088,9
2089,8
2090,6
2091,4
2092,3
2093,0
2094,2
2095,1
2096,4
2097,1
2098,8
2099,1
2100,3
2101,9
2102,9
2103,6
2104,5
2105,5
2106,2
2107,0
2108,7
2109,4
2110,5
2111,7
2112,3
2113,0
2114,3
2115,7
2116,6
2117,5
2118,5
2119,6
2120,9
2121,3
2122,4
2123,8
2124,9
2125,1
2126,8
2127,9
2128,0
2129,1
2130,8
2131,2
2132,6
2133,1
2134,2
2135,5
2136,1
2137,2
2138,0
2139,8
2140,0
2141,0
2142,6
2143,3
2144,4
2145,9
2146,0
2147,9
2148,2
2149,5
2150,9
2151,0
2152,6
2153,2
2154,1
2155,8
2156,1
2157,2
2158,2
2159,7
2160,1
2161,8
2162,5
2163,0
2164,9
2165,0
2166,3
2167,8
2168,0
2169,1
2170,6
2171,6
2172,0
2173,5
2174,5
2175,7
2176,1
2177,6
2178,7
2179,1
2180,7
2181,3
2182,8
2183,9
2184,9
2185,4
2186,9
2187,8
2188,6
2189,0
2190,0
2191,5
2192,8
2193,2
2194,7
2195,8
2196,6
2197,0
2198,3
2199,0
2200,8
2201,1
2202,2
2203,5
2204,6
2205,3
2206,2
2207,3
2208,3
2209,7
2210,2
2211,2
2212,2
2213,6
2214,0
2215,8
2216,5
2217,3
2218,5
2219,3
2220,3
2221,7
2222,6
2223,1
2224,5
2225,8
2226,4
2227,9
2228,2
2229,2
2230,7
2231,8
2232,3
2233,3
2234,6
2235,7
2236,9
2237,7
2238,1
2239,5
2240,4
2241,1
2242,4
2243,8
2244,9
2245,6
2246,7
2247,6
2248,8
2249,9
2250,0
2251,6
2252,0
2253,2
2254,3
2255,6
2256,3
2257,0
2258,7
2259,7
2260,2
2261,3
2262,4
2263,5
2264,6
2265,1
2266,5
2267,1
2268,5
2269,6
2270,4
2271,0
2272,0
2273,0
2274,3
2275,9
2276,0
2277,6
2278,4
2279,1
2280,1
2281,6
2282,2
2283,0
2284,8
2285,4
2286,8
2287,4
2288,1
2289,0
2290,1
2291,7
2292,5
2293,0
2294,0
2295,6
2296,9
2297,6
2298,3
2299,0
2300,0
2301,1
2302,7
2303,3
2304,4
2305,4
2306,6
2307,2
2308,9
2309,4
2310,0
2311,6
2312,0
2313,6
2314,2
2315,1
2316,7
2317,1
2318,1
2319,7
2320,0
2321,6
2322,5
2323,4
2324,9
2325,6
2326,6
2327,1
2328,3
2329,4
2330,5
2331,5
2332,0
2333,0
2334,0
2335,6
2336,4
2337,8
2338,6
2339,0
2340,7
2341,4
2342,4
2343,2
2344,2
2345,8
2346,8
2347,1
2348,9
2349,4
2350,2
2351,2
2352,7
2353,6
2354,8
2355,5
2356,8
2357,5
2358,3
2359,0
2360,7
2361,3
2362,1
2363,5
2364,9
2365,9
2366,0
2367,0
2368,0
2369,0
2370,5
2371,6
2372,5
2373,1
2374,9
2375,0
2376,4
2377,5
2378,6
2379,6
2380,8
2381,6
2382,4
2383,9
2384,5
2385,0
2386,3
2387,9
2388,7
2389,6
2390,0
2391,0
2392,4
2393,3
2394,0
2395,4
2396,3
2397,1
2398,5
2399,6
2400,0
2401,2
2402,8
2403,3
2404,7
2405,9
2406,1
2407,7
2408,8
2409,8
2410,4
2411,2
2412,7
2413,5
2414,9
2415,6
2416,3
2417,5
2418,7
2419,3
2420,8
2421,1
2422,0
2423,6
2424,5
2425,0
2426,9
2427,0
2428,7
2429,5
2430,4
2431,9
2432,8
2433,2
2434,3
2435,2
2436,3
2437,4
2438,9
2439,4
2440,4
2441,2
2442,0
2443,1
2444,2
2445,3
2446,6
2447,0
2448,8
2449,0
2450,3
2451,6
2452,8
2453,2
2454,4
2455,1
2456,6
2457,4
2458,8
2459,3
2460,0
2461,1
2462,8
2463,7
2464,5
2465,7
2466,0
2467,9
2468,1
2469,6
2470,3
2471,2
2472,9
2473,3
2474,2
2475,3
2476,6
2477,0
2478,4
2479,2
2480,0
2481,1
2482,6
2483,5
2484,3
2485,5
2486,9
2487,8
2488,5
2489,3
2490,5
2491,0
2492,7
2493,8
2494,0
2495,1
2496,9
2497,2
2498,8
2499,9
2500,4
2501,9
2502,5
2503,6
2504,3
2505,2
2506,3
2507,6
2508,6
2509,6
2510,0
2511,1
2512,5
2513,4
2514,1
2515,2
2516,3
2517,7
2518,2
2519,0
2520,7
2521,0
2522,6
2523,1
2524,4
2525,2
2526,3
2527,1
2528,5
2529,0
2530,8
2531,3
2532,7
2533,7
2534,1
2535,4
2536,8
2537,3
2538,2
2539,7
2540,9
2541,3
2542,1
2543,1
2544,7
2545,5
2546,9
2547,0
2548,2
2549,1
2550,4
2551,6
2552,9
2553,5
2554,7
2555,4
2556,0
2557,7
2558,7
2559,0
2560,8
2561,0
2562,9
2563,9
2564,9
2565,6
2566,2
2567,2
2568,3
2569,8
2570,5
2571,9
2572,1
2573,2
2574,1
2575,0
2576,4
2577,0
2578,6
2579,9
2580,5
2581,2
2582,8
2583,0
2584,8
2585,5
2586,9
2587,2
2588,9
2589,7
2590,9
2591,8
2592,8
2593,4
2594,0
2595,6
2596,3
2597,3
2598,1
2599,2
2600,2
2601,6
2602,1
2603,6
2604,5
2605,6
2606,7
2607,6
2608,3
2609,9
2610,3
2611,8
2612,1
2613,9
2614,7
2615,8
2616,2
2617,6
2618,1
2619,0
2620,1
2621,5
2622,3
2623,1
2624,6
2625,2
2626,2
2627,6
2628,8
2629,6
2630,7
2631,6
2632,8
2633,1
2634,5
2635,3
2636,2
2637,7
2638,4
2639,8
2640,1
2641,4
2642,0
2643,9
2644,8
2645,5
2646,0
2647,5
2648,0
2649,3
2650,0
2651,8
2652,3
2653,7
2654,1
2655,1
2656,4
2657,3
2658,0
2659,0
2660,3
2661,0
2662,4
2663,6
2664,7
2665,6
2666,8
2667,8
2668,3
2669,2
2670,8
2671,1
2672,2
2673,2
2674,9
2675,1
2676,8
2677,5
2678,3
2679,8
2680,9
2681,0
2682,6
2683,9
2684,2
2685,3
2686,9
2687,6
2688,9
2689,2
2690,8
2691,4
2692,5
2693,7
2694,1
2695,2
2696,4
2697,8
2698,0
2699,0
2700,0
2701,7
2702,9
2703,1
2704,7
2705,0
2706,2
2707,9
2708,8
2709,3
2710,1
2711,3
2712,1
2713,2
2714,5
2715,1
2716,9
2717,8
2718,5
2719,8
2720,1
2721,2
2722,8
2723,0
2724,2
2725,7
2726,0
2727,6
2728,8
2729,9
2730,8
2731,4
2732,0
2733,8
2734,6
2735,1
2736,8
2737,5
2738,5
2739,4
2740,9
2741,1
2742,0
2743,7
2744,0
2745,6
2746,2
2747,6
2748,2
2749,2
2750,3
2751,4
2752,7
2753,9
2754,7
2755,5
2756,5
2757,2
2758,5
2759,3
2760,7
2761,1
2762,8
2763,1
2764,9
2765,9
2766,8
2767,7
2768,8
2769,3
2770,2
2771,8
2772,6
2773,7
2774,6
2775,4
2776,1
2777,2
2778,8
2779,6
2780,5
2781,4
2782,3
2783,8
2784,2
2785,3
2786,8
2787,5
2788,3
2789,1
2790,2
2791,5
2792,6
2793,3
2794,5
2795,9
2796,3
2797,8
2798,9
2799,2
2800,6
2801,7
2802,6
2803,6
2804,1
2805,1
2806,4
2807,7
2808,0
2809,7
2810,1
2811,6
2812,0
2813,7
2814,9
2815,6
2816,6
2817,8
2818,8
2819,1
2820,4
2821,7
2822,7
2823,9
2824,9
2825,3
2826,0
2827,1
2828,6
2829,6
2830,1
2831,8
2832,8
2833,0
2834,8
2835,4
2836,3
2837,2
2838,4
2839,5
2840,1
2841,6
2842,6
2843,8
2844,7
2845,7
2846,1
2847,9
2848,2
2849,0
2850,2
2851,4
2852,6
2853,4
2854,9
2855,0
2856,5
2857,8
2858,0
2859,7
2860,4
2861,5
2862,6
2863,7
2864,3
2865,3
2866,9
2867,3
2868,8
2869,7
2870,3
2871,1
2872,1
2873,0
2874,6
2875,2
2876,1
2877,3
2878,0
2879,3
2880,6
2881,0
2882,5
2883,3
2884,3
2885,7
2886,1
2887,8
2888,4
2889,6
2890,6
2891,4
2892,4
2893,3
2894,6
2895,5
2896,2
2897,4
2898,4
2899,2
2900,8
2901,4
2902,0
2903,9
2904,4
2905,7
2906,9
2907,8
2908,7
2909,2
2910,9
2911,6
2912,6
2913,9
2914,3
2915,1
2916,1
2917,9
2918,6
2919,5
2920,0
2921,1
2922,7
2923,8
2924,3
2925,3
2926,8
2927,8
2928,8
2929,4
2930,5
2931,2
2932,3
2933,4
2934,5
2935,8
2936,2
2937,2
2938,0
2939,6
2940,9
2941,9
2942,0
2943,5
2944,3
2945,0
2946,2
2947,0
2948,7
2949,3
2950,4
2951,9
2952,1
2953,3
2954,6
2955,4
2956,8
2957,0
2958,4
2959,3
2960,6
2961,8
2962,6
2963,7
2964,9
2965,8
2966,3
2967,6
2968,2
2969,0
2970,5
2971,5
2972,0
2973,6
2974,8
2975,7
2976,2
2977,9
2978,4
2979,1
2980,1
2981,1
2982,8
2983,8
2984,2
2985,1
2986,4
2987,8
2988,4
2989,2
2990,9
2991,8
2992,7
2993,0
2994,7
2995,6
2996,0
2997,3
